symbol,entry_time,exit_time,direction,entry_open,exit_close,bars_held,pnl_points,runup_points,drawdown_points,cum_pnl_points
1d,2001-12-05 00:00:00+00:00,2001-12-11 00:00:00+00:00,1,4575.146982938681,4640.875,5,65.7280170613194,143.1030170613194,0.0,6326.131285954313
1d,2001-12-11 00:00:00+00:00,2001-12-18 00:00:00+00:00,-1,4658.431061433667,4631.375,6,27.05606143366731,109.18106143366731,18.81893856633269,6353.1873473879805
1d,2001-12-18 00:00:00+00:00,2001-12-21 00:00:00+00:00,1,4606.251751919803,4552.25,4,-54.0017519198027,40.9982480801973,75.5017519198027,6299.185595468178
1d,2001-12-21 00:00:00+00:00,2001-12-27 00:00:00+00:00,-1,4595.640843989975,4581.625,4,14.01584398997511,64.89084398997511,3.10915601002489,6313.201439458153
1d,2001-12-27 00:00:00+00:00,2002-01-02 00:00:00+00:00,1,4569.017605498747,4569.0,4,-0.01760549874688877,49.73239450125311,27.26760549874689,6313.183833959406
1d,2002-01-02 00:00:00+00:00,2002-01-04 00:00:00+00:00,-1,4580.892825687343,4649.75,3,-68.85717431265675,38.14282568734325,96.85717431265675,6244.326659646749
1d,2002-01-04 00:00:00+00:00,2002-01-11 00:00:00+00:00,1,4596.410706421836,4628.625,6,32.21429357816396,93.83929357816396,0.0,6276.540953224913
1d,2002-01-11 00:00:00+00:00,2002-01-25 00:00:00+00:00,-1,4636.653459575682,4533.25,10,103.40345957568206,160.40345957568206,16.096540424317936,6379.944412800595
1d,2002-01-25 00:00:00+00:00,2002-01-30 00:00:00+00:00,1,4525.960504803859,4497.5,4,-28.460504803859294,34.289495196140706,68.7105048038593,6351.483907996736
1d,2002-01-30 00:00:00+00:00,2002-02-01 00:00:00+00:00,-1,4529.057563100482,4515.0,3,14.057563100482184,71.80756310048218,9.692436899517816,6365.541471097218
1d,2002-02-01 00:00:00+00:00,2002-02-04 00:00:00+00:00,1,4516.701890775121,4479.5,2,-37.20189077512077,22.048109224879227,69.95189077512077,6328.339580322097
1d,2002-02-04 00:00:00+00:00,2002-02-12 00:00:00+00:00,-1,4515.85094538756,4441.625,7,74.22594538756039,135.1009453875604,0.0,6402.565525709658
1d,2002-02-12 00:00:00+00:00,2002-02-18 00:00:00+00:00,1,4428.591421021681,4414.0,5,-14.591421021680617,56.65857897831938,21.341421021680617,6387.974104687977
